City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
0,acapulco,5,MX,1554691440,88,16.86,-99.88,77.0,5.82
1,hermanus,20,ZA,1554695184,94,-34.42,19.24,60.01,1.01
2,phangnga,20,TH,1554692400,55,8.45,98.53,89.6,2.24
3,rikitea,8,PF,1554695690,100,-23.12,-134.97,77.22,5.73
4,atuona,76,PF,1554695691,99,-9.8,-139.03,82.71,11.32
5,sitka,0,US,1554695113,48,37.17,-99.65,55.0,5.28
6,tiksi,64,RU,1554695693,73,71.64,128.87,31.05,12.77
7,punta arenas,20,CL,1554694351,80,-53.16,-70.91,39.2,5.82
8,ayan,0,TR,1554695694,82,40.67,33.6,32.4,1.03
9,lebu,40,ET,1554692400,76,8.96,38.73,57.2,2.24
10,poshekhonye,36,RU,1554695697,74,58.5,39.12,24.66,3.38
11,le vauclin,20,MQ,1554692400,78,14.55,-60.84,75.2,12.75
12,dikson,44,RU,1554695699,100,73.51,80.55,15.03,8.75
13,provideniya,75,RU,1554692400,61,64.42,-173.23,17.6,17.9
14,roche-la-moliere,90,FR,1554695619,86,45.43,4.32,46.4,5.82
15,severo-kurilsk,88,RU,1554695702,92,50.68,156.12,32.67,24.52
16,port alfred,36,ZA,1554695530,94,-33.59,26.89,64.0,15.9
17,namibe,8,AO,1554695704,100,-15.19,12.15,75.87,3.94
18,la grande,90,US,1554695422,87,45.32,-118.09,48.2,3.36
19,panguna,80,PG,1554695706,82,-6.32,155.48,82.08,4.27
20,aksehir,0,TR,1554695707,86,38.36,31.42,35.1,2.71
21,washougal,90,US,1554695707,87,45.58,-122.35,48.99,2.26
22,busselton,0,AU,1554695528,36,-33.64,115.35,71.01,14.45
23,albany,90,US,1554695464,76,42.65,-73.75,57.99,9.17
24,jamestown,0,AU,1554695448,42,-33.21,138.6,71.64,11.43
25,fortuna,20,ES,1554695621,58,38.18,-1.13,59.0,4.7
26,luena,48,AO,1554695713,91,-11.78,19.91,66.06,2.59
27,san quintin,12,PH,1554695714,68,17.54,120.52,87.12,3.6
28,new norfolk,0,AU,1554695595,39,-42.78,147.06,63.0,16.11
29,los llanos de aridane,90,ES,1554695705,72,28.66,-17.92,62.6,3.36
30,mudigere,0,IN,1554695717,64,13.13,75.64,78.12,2.71
31,cape town,20,ZA,1554695592,93,-33.93,18.42,59.0,9.17
32,sinjar,88,SY,1554695719,95,35.59,37.0,55.98,4.5
33,iqaluit,90,CA,1554694327,78,63.75,-68.52,14.0,23.04
34,arraial do cabo,0,BR,1554695720,82,-22.97,-42.02,80.73,18.92
35,luderitz,0,NA,1554695722,92,-26.65,15.16,56.16,10.54
36,kapaa,90,US,1554695593,69,22.08,-159.32,77.0,18.34
37,peetri,92,EE,1554695724,88,58.94,25.84,38.79,6.29
38,hervey bay,40,AU,1554695143,45,-25.3,152.85,87.01,10.29
39,san pedro,0,AR,1554695575,77,-33.68,-59.66,59.0,1.01
40,torbay,75,CA,1554695541,86,47.66,-52.73,30.99,24.16
41,vaini,0,IN,1554692400,54,15.34,74.49,80.6,4.7
42,ancud,90,CL,1554692400,100,-41.87,-73.83,57.2,4.7
43,ushuaia,40,AR,1554692400,100,-54.81,-68.31,39.2,14.99
44,rio grande,0,BR,1554695474,98,-32.03,-52.1,64.53,6.62
45,faanui,68,PF,1554695733,98,-16.48,-151.75,85.23,16.13
46,mataura,48,NZ,1554695733,31,-46.19,168.86,67.41,11.21
47,juneau,90,US,1554692160,81,58.3,-134.42,44.6,24.16
48,galveston,90,US,1554695734,93,40.58,-86.19,64.99,16.11
49,sao filipe,0,CV,1554695736,97,14.9,-24.5,71.19,14.45
50,cherskiy,0,RU,1554695737,72,68.75,161.3,21.87,2.71
51,sines,100,PT,1554695112,94,37.96,-8.87,55.99,3.0
52,yumen,92,CN,1554695740,66,40.29,97.04,42.3,12.66
53,linxia,80,CN,1554695741,52,35.6,103.21,49.68,3.49
54,ponta do sol,92,BR,1554695742,96,-20.63,-46.0,66.6,2.37
55,hobart,0,AU,1554695715,39,-42.88,147.33,63.0,16.11
56,butaritari,80,KI,1554695744,100,3.07,172.79,81.45,16.02
57,sao joao da barra,8,BR,1554695745,94,-21.64,-41.05,82.26,25.08
58,paducah,1,US,1554695406,93,37.08,-88.6,64.4,5.82
59,pisco,0,PE,1554692400,100,-13.71,-76.2,71.6,3.36
60,samfya,20,ZM,1554695747,83,-11.37,29.56,68.4,8.63
61,rocha,0,UY,1554695635,86,-34.48,-54.34,49.14,2.71
62,merritt island,1,US,1554695716,94,28.54,-80.67,75.99,6.93
63,tasiilaq,92,GL,1554691800,46,65.61,-37.64,30.2,24.16
64,avarua,8,CK,1554694200,74,-21.21,-159.78,82.4,10.29
65,kodiak,1,US,1554695650,77,39.95,-94.76,62.01,8.05
66,nikolskoye,0,RU,1554695736,64,59.7,30.79,39.99,11.18
67,bonavista,24,CA,1554695176,89,48.65,-53.11,28.0,18.01
68,bluff,0,AU,1554695755,43,-23.58,149.07,84.78,10.54
69,bredasdorp,68,ZA,1554695105,88,-34.53,20.04,64.4,6.93
70,ilhabela,92,BR,1554695757,100,-23.78,-45.36,73.89,9.64
71,tuktoyaktuk,75,CA,1554692400,84,69.44,-133.03,3.2,6.93
72,aykhal,32,RU,1554695759,77,65.95,111.51,21.24,5.39
73,saint-philippe,90,CA,1554695753,70,45.36,-73.48,44.6,3.36
74,victoria,75,BN,1554692400,66,5.28,115.24,89.6,3.36
75,dibai,0,IN,1554695762,61,28.21,78.26,76.86,12.44
76,cayenne,90,GF,1554692400,94,4.94,-52.33,77.0,2.24
77,porto walter,0,BR,1554695765,80,-8.27,-72.74,72.72,2.59
78,aleksandrov gay,80,RU,1554695765,100,50.14,48.57,42.3,4.61
79,fort collins,1,US,1554695742,18,40.55,-105.07,62.6,9.17
80,port augusta,0,AU,1554695593,29,-32.49,137.76,80.01,12.75
81,barrow,0,AR,1554695693,46,-38.31,-60.23,66.69,13.22
82,katsuura,20,JP,1554694499,52,33.93,134.5,68.0,12.75
83,lorengau,80,PG,1554695770,100,-2.02,147.27,81.99,5.61
84,chifeng,36,CN,1554695771,62,42.27,118.96,39.96,3.94
85,makakilo city,90,US,1554695407,65,21.35,-158.09,80.6,11.41
86,constitucion,20,MX,1554691320,18,23.99,-104.67,62.6,6.93
87,chapais,1,CA,1554692400,46,49.78,-74.86,10.4,5.82
